ensembl_gene_id,length,gc
ENSG00000000003,4536,0.399250440917108
ENSG00000000419,9276,0.425291073738681
ENSG00000000457,6883,0.41173906726718
ENSG00000000460,5970,0.429815745393635
ENSG00000000938,3382,0.564458900059137
ENSG00000000971,15284,0.36940591468202
ENSG00000001036,2822,0.430900070871722
ENSG00000001084,8618,0.393362729171502
ENSG00000001167,6209,0.463198582702529
ENSG00000001460,8511,0.484431911643755
ENSG00000001461,9396,0.469029374201788
ENSG00000001497,12555,0.419832735961768
ENSG00000001561,4644,0.344315245478036
ENSG00000001629,7389,0.420625253755583
ENSG00000001630,4171,0.418364900503476
ENSG00000001631,21110,0.366650876361914
ENSG00000002016,4503,0.438374417055296
ENSG00000002330,1708,0.599531615925059
ENSG00000002549,3779,0.448531357501985
ENSG00000002586,4858,0.499382461918485
ENSG00000002587,7435,0.485137861466039
ENSG00000002745,3264,0.418811274509804
ENSG00000002822,6955,0.556146657081237
ENSG00000002834,7061,0.573573148279281
ENSG00000002919,4133,0.505685942414711
ENSG00000002933,3477,0.57578372159908
ENSG00000003056,3585,0.429567642956764
ENSG00000003096,6928,0.43013856812933
ENSG00000003147,4883,0.460167929551505
ENSG00000003249,4462,0.594800537875392
ENSG00000003393,33513,0.387461582072629
ENSG00000003400,8920,0.451457399103139
ENSG00000003402,22478,0.45987187472195
ENSG00000003436,11714,0.416851630527574
ENSG00000003509,3651,0.422076143522323
ENSG00000003756,10357,0.439509510476007
ENSG00000004059,1825,0.593972602739726
ENSG00000004139,11105,0.554975236380009
ENSG00000004142,2670,0.521348314606742
ENSG00000004399,9557,0.596840012556242
ENSG00000004455,17967,0.486113430177548
ENSG00000004468,6857,0.425550532302756
ENSG00000004478,5163,0.52527600232423
ENSG00000004487,18325,0.417953615279673
ENSG00000004534,7299,0.469790382244143
ENSG00000004660,7433,0.576483250369972
ENSG00000004700,3779,0.411219899444297
ENSG00000004766,9559,0.356418035359347
ENSG00000004777,5260,0.646768060836502
ENSG00000004779,1548,0.5
ENSG00000004799,4544,0.373679577464789
ENSG00000004809,3907,0.444842590222677
ENSG00000004838,2889,0.578054690204223
ENSG00000004846,8796,0.408253751705321
ENSG00000004864,3710,0.454177897574124
ENSG00000004866,6526,0.449586270303402
ENSG00000004897,6824,0.390093786635404
ENSG00000004939,5125,0.558829268292683
ENSG00000004961,2343,0.426376440460948
ENSG00000004975,5321,0.538432625446345
ENSG00000005007,8573,0.595474163070104
ENSG00000005020,5361,0.4060809550457
ENSG00000005022,1555,0.485530546623794
ENSG00000005059,3555,0.39746835443038
ENSG00000005075,937,0.573105656350053
ENSG00000005100,5789,0.47279322853688
ENSG00000005102,2674,0.531413612565445
ENSG00000005108,10915,0.372972972972973
ENSG00000005156,12901,0.498488489264398
ENSG00000005175,5350,0.421495327102804
ENSG00000005187,7510,0.420639147802929
ENSG00000005189,4111,0.463877402091948
ENSG00000005194,3383,0.441915459651197
ENSG00000005206,7419,0.63890012131015
ENSG00000005238,6375,0.549803921568628
ENSG00000005243,1866,0.54983922829582
ENSG00000005249,4262,0.395354293758799
ENSG00000005302,9780,0.443456032719836
ENSG00000005339,15479,0.467278247948834
ENSG00000005379,11389,0.591799104398981
ENSG00000005381,4427,0.555455161508923
ENSG00000005436,5462,0.373306481142439
ENSG00000005448,2852,0.563814866760168
ENSG00000005469,4995,0.367367367367367
ENSG00000005471,7728,0.39945652173913
ENSG00000005483,13704,0.41768826619965
ENSG00000005486,2390,0.574058577405858
ENSG00000005513,4470,0.651677852348993
ENSG00000005700,8719,0.37068471154949
ENSG00000005801,11711,0.44718640594313
ENSG00000005810,34127,0.367919828874498
ENSG00000005812,7076,0.392594686263426
ENSG00000005844,9864,0.532339821573398
ENSG00000005882,5471,0.581246572838604
ENSG00000005884,9802,0.574372577025097
ENSG00000005889,9037,0.421268119951311
ENSG00000005893,9404,0.417375584857508
ENSG00000005961,5695,0.533274802458297
ENSG00000006007,4390,0.451480637813212
ENSG00000006015,3371,0.596262236725007
ENSG00000006025,6572,0.587644552647596
ENSG00000006062,5668,0.517642907551165
ENSG00000006125,7591,0.462257937030694
ENSG00000006194,6403,0.486803061065126
ENSG00000006282,5337,0.61663856098932
ENSG00000006327,1801,0.634647418101055
ENSG00000006432,12386,0.447117713547554
ENSG00000006451,3579,0.441184688460464
ENSG00000006459,9378,0.441778630838132
ENSG00000006530,10697,0.403664578853884
ENSG00000006534,6622,0.586680761099366
ENSG00000006555,6111,0.534609720176731
ENSG00000006576,8665,0.356376226197346
ENSG00000006607,14371,0.478602741632454
ENSG00000006625,1594,0.483688833124216
ENSG00000006634,4595,0.388030467899891
ENSG00000006638,2827,0.55748142907676
ENSG00000006652,7902,0.403568716780562
ENSG00000006695,6756,0.46388395500296
ENSG00000006712,2850,0.51859649122807
ENSG00000006715,7752,0.39641382868937
ENSG00000006744,7002,0.466152527849186
ENSG00000006747,11626,0.407792878031997
ENSG00000006756,7026,0.523341873042983
ENSG00000006757,3411,0.436528877162123
ENSG00000006831,5831,0.434402332361516
ENSG00000006837,3149,0.399174341060654
ENSG00000007047,6656,0.576923076923077
ENSG00000007062,7457,0.452863081668231
ENSG00000007080,1661,0.619506321493077
ENSG00000007129,1977,0.558421851289833
ENSG00000007168,13771,0.425459298525888
ENSG00000007202,9232,0.479961005199307
ENSG00000007237,10158,0.491533766489466
ENSG00000007255,933,0.587352625937835
ENSG00000007264,4138,0.523924601256646
ENSG00000007312,2125,0.606588235294118
ENSG00000007341,8108,0.456709422792304
ENSG00000007350,3526,0.497163925127623
ENSG00000007376,2769,0.668472372697725
ENSG00000007392,6176,0.516515544041451
ENSG00000007402,6508,0.602950215119853
ENSG00000007516,6109,0.652971026354559
ENSG00000007520,1210,0.644628099173554
ENSG00000007541,7856,0.661532586558045
ENSG00000007545,8596,0.579571893904141
ENSG00000007923,12182,0.466672139221803
ENSG00000007944,3072,0.4677734375
ENSG00000007968,5462,0.549432442328817
ENSG00000008018,2219,0.428571428571429
ENSG00000008083,6244,0.506566303651506
ENSG00000008086,19056,0.421389588581024
ENSG00000008130,5570,0.525134649910233
ENSG00000008226,8338,0.552050851523147
ENSG00000008256,5808,0.465048209366391
ENSG00000008277,13668,0.393766461808604
ENSG00000008282,2783,0.477901545095221
ENSG00000008283,5296,0.566654078549849
ENSG00000008294,11951,0.442306083172956
ENSG00000008300,13850,0.607220216606498
ENSG00000008311,10816,0.347633136094675
ENSG00000008324,3118,0.419499679281591
ENSG00000008382,2049,0.659346022449976
ENSG00000008394,7441,0.386641580432738
ENSG00000008405,4782,0.421371810957758
ENSG00000008438,708,0.639830508474576
ENSG00000008441,6486,0.611470860314524
ENSG00000008513,8852,0.518413917758699
ENSG00000008516,4745,0.66491043203372
ENSG00000008517,3209,0.582736054845746
ENSG00000008710,18534,0.644167475990072
ENSG00000008838,6962,0.483481758115484
ENSG00000008853,7408,0.586933045356371
ENSG00000008869,8238,0.410172371934936
ENSG00000008952,7928,0.372098890010091
ENSG00000008988,6765,0.416555801921656
ENSG00000009307,9830,0.38351983723296
ENSG00000009335,9215,0.456646771568096
ENSG00000009413,12425,0.410623742454728
ENSG00000009694,13547,0.378164907359563
ENSG00000009780,4046,0.415472071181414
ENSG00000009790,7750,0.448
ENSG00000009830,13203,0.471635234416421
ENSG00000009844,7258,0.379856709837421
ENSG00000009954,7060,0.463031161473088
ENSG00000010017,3618,0.479823106688778
ENSG00000010030,2374,0.485256950294861
ENSG00000010072,5906,0.422621063325432
ENSG00000010165,3831,0.498303315061342
ENSG00000010219,7050,0.457446808510638
ENSG00000010244,15818,0.366101909217347
ENSG00000010256,3204,0.525905118601748
ENSG00000010270,4324,0.443802035152636
ENSG00000010278,5829,0.513295591010465
ENSG00000010292,6470,0.51854714064915
ENSG00000010295,4945,0.546006066734075
ENSG00000010310,5069,0.571513118958374
ENSG00000010318,3364,0.50089179548157
ENSG00000010319,5047,0.610263522884882
ENSG00000010322,9062,0.582211432354889
ENSG00000010327,10588,0.620891575368342
ENSG00000010361,2953,0.499492041991196
ENSG00000010379,4243,0.470186189017205
ENSG00000010404,9294,0.427695287282118
ENSG00000010539,7498,0.471192317951454
ENSG00000010610,4557,0.552775949089313
ENSG00000010626,3052,0.545871559633028
ENSG00000010671,7817,0.445567353204554
ENSG00000010704,5675,0.433303964757709
ENSG00000010803,4602,0.481964363320296
ENSG00000010810,7411,0.478882741870193
ENSG00000010818,10655,0.390896292820272
ENSG00000011007,5348,0.477748691099477
ENSG00000011009,2021,0.617516081147947
ENSG00000011021,8173,0.529793221583262
ENSG00000011028,6591,0.634805037171901
ENSG00000011105,6905,0.595944967414917
ENSG00000011114,11333,0.406070766787258
ENSG00000011132,5596,0.539671193709793
ENSG00000011143,11285,0.464155959237926
ENSG00000011198,7539,0.423928903037538
ENSG00000011243,8576,0.579990671641791
ENSG00000011258,7184,0.403674832962138
ENSG00000011260,2703,0.428042915279319
ENSG00000011275,7576,0.496040126715945
ENSG00000011295,6054,0.435744962008589
ENSG00000011304,7521,0.600319106501795
ENSG00000011376,12407,0.483839767872975
ENSG00000011405,9207,0.410231345715217
ENSG00000011422,4457,0.500560915413956
ENSG00000011426,5997,0.40253460063365
ENSG00000011451,10037,0.595397030985354
ENSG00000011454,7656,0.412356321839081
ENSG00000011478,2825,0.576637168141593
ENSG00000011485,7089,0.561292142756383
ENSG00000011523,8623,0.464919401600371
ENSG00000011566,6056,0.414299867899604
ENSG00000011590,2739,0.587440671778021
ENSG00000011600,907,0.501653803748622
ENSG00000011638,2558,0.500781860828773
ENSG00000012048,14160,0.450847457627119
ENSG00000012061,5575,0.508520179372197
ENSG00000012124,6165,0.549553933495539
ENSG00000012171,5768,0.635922330097087
ENSG00000012174,8945,0.388038010061487
ENSG00000012211,3656,0.550875273522976
ENSG00000012223,3989,0.479318124843319
ENSG00000012232,16477,0.495964071129453
ENSG00000012660,3813,0.504589562024653
ENSG00000012779,3728,0.589592274678112
ENSG00000012822,8898,0.493369296471117
ENSG00000012963,3509,0.445426047306925
ENSG00000012983,7580,0.425197889182058
ENSG00000013016,4825,0.545699481865285
ENSG00000013275,2550,0.531764705882353
ENSG00000013288,8884,0.574290859972985
ENSG00000013306,3526,0.621951219512195
ENSG00000013364,6141,0.57352222765022
ENSG00000013374,5338,0.477707006369427
ENSG00000013375,22007,0.391102830917435
ENSG00000013392,3769,0.428230299814274
ENSG00000013441,5117,0.405511041625953
ENSG00000013503,4768,0.441484899328859
ENSG00000013523,6525,0.44367816091954
ENSG00000013561,4988,0.443263833199679
ENSG00000013563,4132,0.55106485963214
ENSG00000013573,8367,0.565316122863631
ENSG00000013583,3428,0.448074679113186
ENSG00000013619,6664,0.553271308523409
ENSG00000013725,5958,0.582242363209131
ENSG00000013810,8825,0.594447592067989
ENSG00000014123,4539,0.37320995814056
ENSG00000014138,5568,0.51257183908046
ENSG00000014164,3721,0.655737704918033
ENSG00000014216,7506,0.604583000266454
ENSG00000014257,4280,0.432476635514019
ENSG00000014641,4990,0.41122244488978
ENSG00000014824,7199,0.378802611473816
ENSG00000014914,4572,0.509842519685039
ENSG00000014919,5215,0.41457334611697
ENSG00000015133,12426,0.505230967326573
ENSG00000015153,10839,0.391641295322447
ENSG00000015171,5325,0.430610328638498
ENSG00000015285,3402,0.561728395061729
ENSG00000015475,4420,0.571493212669683
ENSG00000015479,12064,0.385278514588859
ENSG00000015532,5472,0.586074561403509
ENSG00000015676,9893,0.463357929849389
ENSG00000016391,7787,0.518556568640041
ENSG00000016864,3785,0.483223249669749
ENSG00000017260,8510,0.398119858989424
ENSG00000017483,4017,0.564849390092109
ENSG00000017797,8041,0.459395597562492
ENSG00000018189,9405,0.412971823498139
ENSG00000018280,8676,0.573766712770862
ENSG00000018408,8353,0.390518376631151
ENSG00000018510,15223,0.375615844445904
ENSG00000018610,2581,0.472297559085626
ENSG00000018699,3443,0.444670345628812
ENSG00000018869,3341,0.419934151451661
ENSG00000019169,2051,0.568990736226231
ENSG00000019485,13976,0.542930738408701
ENSG00000019582,4526,0.527839151568714
ENSG00000019991,9753,0.366143750640829
ENSG00000019995,5993,0.393625896879693
ENSG00000020129,4917,0.612161887329673
ENSG00000020181,7084,0.628176171654433
ENSG00000020256,6790,0.462297496318115
ENSG00000020426,3877,0.364457054423523
ENSG00000020577,12333,0.481958971864104
ENSG00000020633,4922,0.536570499796831
ENSG00000020922,7674,0.394709408391973
ENSG00000021300,4933,0.565984188120819
ENSG00000021355,3047,0.493600262553331
ENSG00000021574,9481,0.408606687058327
ENSG00000021645,15534,0.45377880777649
ENSG00000021762,7473,0.60457647531112
ENSG00000021776,13431,0.407192316283225
ENSG00000021826,11018,0.417317117444182
ENSG00000022267,5862,0.501194131695667
ENSG00000022277,4063,0.463204528673394
ENSG00000022556,6313,0.507682559797244
ENSG00000022567,8608,0.535664498141264
ENSG00000022840,5900,0.504915254237288
ENSG00000022976,5595,0.532260947274352
ENSG00000023041,9250,0.409945945945946
ENSG00000023171,14932,0.508103402089472
ENSG00000023191,7374,0.612015188500136
ENSG00000023228,12174,0.419993428618367
ENSG00000023287,7613,0.383029029292001
ENSG00000023318,14212,0.374331550802139
ENSG00000023330,2536,0.51813880126183
ENSG00000023445,7518,0.366719872306464
ENSG00000023516,9915,0.372970247100353
ENSG00000023572,6210,0.42512077294686
ENSG00000023608,2593,0.368684920940995
ENSG00000023697,2813,0.408460718094561
ENSG00000023734,2215,0.423476297968397
ENSG00000023839,7837,0.442643868827357
ENSG00000023892,5066,0.51006711409396
ENSG00000023902,6629,0.543822597676874
ENSG00000023909,5426,0.385366752672319
ENSG00000024048,8874,0.41965291863872
ENSG00000024526,5904,0.369918699186992
ENSG00000024862,1247,0.437048917401764
ENSG00000025039,5095,0.485966633954858
ENSG00000025156,2697,0.403411197626993
ENSG00000025293,8372,0.449474438604873
ENSG00000025423,2272,0.477112676056338
ENSG00000025434,4534,0.559991177767975
ENSG00000025708,3600,0.650555555555556
ENSG00000025770,4459,0.601255886970173
ENSG00000025772,1973,0.491637100861632
ENSG00000025796,8606,0.420520567046247
ENSG00000025800,7457,0.47592865763712
ENSG00000026025,5176,0.502704791344668
ENSG00000026036,9093,0.638953040800616
ENSG00000026103,29313,0.414798894688364
ENSG00000026297,19532,0.51556420233463
ENSG00000026508,9992,0.423038430744596
ENSG00000026652,14253,0.442643653967586
ENSG00000026751,4833,0.460376577695014
ENSG00000026950,5539,0.475356562556418
ENSG00000027001,3388,0.391971664698937
ENSG00000027075,8947,0.497373421258522
ENSG00000027697,3549,0.451958298112144
ENSG00000027847,4878,0.605166051660517
ENSG00000027869,2498,0.569655724579664
ENSG00000028116,3531,0.440101954120646
ENSG00000028137,3778,0.594494441503441
ENSG00000028203,8766,0.385694729637235
ENSG00000028277,9072,0.482804232804233
ENSG00000028310,9549,0.574196250916326
ENSG00000028528,9789,0.463479415670651
ENSG00000028839,5039,0.392538202024211
ENSG00000029153,7001,0.40994143693758
ENSG00000029363,9533,0.396936955837617
ENSG00000029364,7138,0.434995797142057
ENSG00000029534,10797,0.508474576271186
ENSG00000029639,4111,0.412308440768669
ENSG00000029725,7059,0.417764555886103
ENSG00000029993,3914,0.453755748594788
ENSG00000030066,8576,0.423041044776119
ENSG00000030110,2212,0.595388788426763
ENSG00000030419,12243,0.36559666748346
ENSG00000030582,3524,0.618615209988649
ENSG00000031003,6808,0.422444183313749
ENSG00000031081,9374,0.496799658630254
ENSG00000031691,1741,0.340034462952326
ENSG00000031698,3849,0.485840478046246
ENSG00000031823,7445,0.536601746138348
ENSG00000032219,7449,0.395355081218956
ENSG00000032389,5723,0.482264546566486
ENSG00000032444,7161,0.636782572266443
ENSG00000032742,6049,0.380062820300876
ENSG00000033011,10637,0.509448152674626
ENSG00000033030,9125,0.42586301369863
ENSG00000033050,5158,0.494183792167507
ENSG00000033100,6498,0.582179132040628
ENSG00000033122,30043,0.387943947009287
ENSG00000033170,6976,0.436783256880734
ENSG00000033178,11408,0.35922159887798
ENSG00000033327,6775,0.478819188191882
ENSG00000033627,10926,0.489932271645616
ENSG00000033800,10647,0.42979242979243
ENSG00000033867,9616,0.408277870216306
ENSG00000034053,6869,0.561944970155772
ENSG00000034152,3775,0.591258278145695
ENSG00000034510,461,0.533622559652929
ENSG00000034533,3427,0.3772979282171
ENSG00000034677,5852,0.405160628844839
ENSG00000034693,2830,0.36678445229682
ENSG00000034713,3010,0.4578073089701
ENSG00000035115,11132,0.384926338483651
ENSG00000035141,3086,0.503888528839922
ENSG00000035403,9992,0.453662930344275
ENSG00000035499,3806,0.425118234366789
ENSG00000035664,13661,0.459117194934485
ENSG00000035681,6170,0.43192868719611
ENSG00000035687,3441,0.472246439988376
ENSG00000035720,1951,0.380317785750897
ENSG00000035862,5633,0.569678679211788
ENSG00000035928,6713,0.396544019067481
ENSG00000036054,5176,0.378670788253478
ENSG00000036257,11505,0.427466318991743
ENSG00000036448,7056,0.515873015873016
ENSG00000036549,9008,0.388432504440497
ENSG00000036565,3910,0.414066496163683
ENSG00000037042,2793,0.556032939491586
ENSG00000037241,1164,0.515463917525773
ENSG00000037280,8852,0.615341165838229
ENSG00000037474,5506,0.448964765710134
ENSG00000037637,9009,0.435675435675436
ENSG00000037749,10159,0.424844965055616
ENSG00000037757,3466,0.542700519330641
ENSG00000037897,1947,0.54185927067283
ENSG00000038002,2605,0.467562380038388
ENSG00000038210,3685,0.381004070556309
ENSG00000038219,15862,0.400075652502837
ENSG00000038274,8700,0.378045977011494
ENSG00000038358,6140,0.594625407166124
ENSG00000038382,19587,0.506305202430183
ENSG00000038427,14678,0.416064858972612
ENSG00000038532,12548,0.520561045584954
ENSG00000038945,7812,0.325780849974398
ENSG00000039068,6076,0.484529295589204
ENSG00000039123,6347,0.401449503702537
ENSG00000039319,15490,0.371400903808909
ENSG00000039523,6729,0.61836825679893
ENSG00000039560,7581,0.442817570241393
ENSG00000039650,4545,0.596259625962596
ENSG00000040199,12493,0.405346994316817
ENSG00000040275,4775,0.401675392670157
ENSG00000040341,8964,0.415216421240518
ENSG00000040487,2686,0.619136262099777
ENSG00000040531,4949,0.554455445544555
ENSG00000040608,3126,0.607165706973768
ENSG00000040633,2733,0.620563483351628
ENSG00000040933,13189,0.490636136174085
ENSG00000041353,7154,0.354347218339391
ENSG00000041357,6994,0.42622247640835
ENSG00000041515,8816,0.48049001814882
ENSG00000041802,4801,0.420953967923349
ENSG00000041880,3198,0.584427767354597
ENSG00000041988,4067,0.589377919842636
ENSG00000042062,6023,0.494936078366263
ENSG00000042088,6223,0.471958862285072
ENSG00000042286,5135,0.546445959104187
ENSG00000042317,6872,0.395081490104773
ENSG00000042429,16610,0.402167369054786
ENSG00000042445,4049,0.49913558903433
ENSG00000042493,2419,0.559322033898305
ENSG00000042753,1558,0.602053915275995
ENSG00000042832,11132,0.52703916636723
ENSG00000042980,9381,0.386419358277369
ENSG00000043093,8307,0.468279764054412
ENSG00000043143,11091,0.561806870435488
ENSG00000043462,6823,0.466803458889052
ENSG00000043514,6533,0.438389713760906
ENSG00000043591,3039,0.587693320171109
ENSG00000044090,7873,0.551378127778484
ENSG00000044115,8830,0.480634201585504
ENSG00000044446,8547,0.442143442143442
ENSG00000044459,11064,0.369848156182213
ENSG00000044574,6530,0.441500765696784
ENSG00000046604,9492,0.39433206911083
ENSG00000046647,4001,0.407148212946763
ENSG00000046651,15550,0.399292604501608
ENSG00000046653,5767,0.437315762094677
ENSG00000047056,6301,0.508014600857007
ENSG00000047188,10805,0.367515039333642
ENSG00000047230,5531,0.45832580003616
ENSG00000047249,5104,0.413009404388715
ENSG00000047315,5891,0.416907146494653
ENSG00000047346,9848,0.37855402112104
ENSG00000047365,12427,0.360746761084735
ENSG00000047410,12350,0.352226720647773
ENSG00000047578,9759,0.547084742289169
ENSG00000047579,3046,0.497045305318451
ENSG00000047597,5174,0.416312330885195
ENSG00000047617,6064,0.454485488126649
ENSG00000047621,4932,0.374695863746959
ENSG00000047634,5497,0.354375113698381
ENSG00000047644,7416,0.544768069039914
ENSG00000047648,8893,0.422242212976498
ENSG00000047849,14994,0.441910097372282
ENSG00000047932,4628,0.392394122731201
ENSG00000048028,5793,0.456067667875022
ENSG00000048052,17269,0.397764780821125
ENSG00000048140,5215,0.593480345158198
ENSG00000048162,2806,0.478617248752673
ENSG00000048342,14588,0.431176309295311
ENSG00000048392,5391,0.410869968465962
ENSG00000048405,5793,0.342137061971345
ENSG00000048462,1015,0.431527093596059
ENSG00000048471,11299,0.511461191255863
ENSG00000048544,2100,0.436190476190476
ENSG00000048649,15579,0.439501893574684
ENSG00000048707,20768,0.458253081664099
ENSG00000048740,11029,0.435578928279989
ENSG00000048828,7246,0.455561689207839
ENSG00000048991,7898,0.449860724233983
ENSG00000049089,4215,0.586476868327402
ENSG00000049130,6205,0.412248186946011
ENSG00000049167,26458,0.370776324741099
ENSG00000049192,8565,0.37851722124927
ENSG00000049239,9322,0.565436601587642
ENSG00000049245,2733,0.431028174167581
ENSG00000049246,8128,0.438607283464567
ENSG00000049247,1793,0.407696597880647
ENSG00000049249,6354,0.452313503305005
ENSG00000049323,7348,0.50707675557975
ENSG00000049449,4472,0.446109123434705
ENSG00000049541,2211,0.520578923563998
ENSG00000049618,45931,0.428381702989267
ENSG00000049656,6549,0.57581310123683
ENSG00000049759,34097,0.449071765844503
ENSG00000049768,3086,0.567401166558652
ENSG00000049769,4378,0.582686158063043
ENSG00000049860,5015,0.425722831505484
ENSG00000049883,12115,0.425257944696657
ENSG00000050030,12338,0.419111687469606
ENSG00000050130,4350,0.390114942528736
ENSG00000050165,11958,0.48469643753136
ENSG00000050327,5818,0.564798899965624
ENSG00000050344,4303,0.456890541482687
ENSG00000050393,6057,0.434703648670959
ENSG00000050405,6291,0.418693371483071
ENSG00000050426,6032,0.466014588859416
ENSG00000050438,17920,0.455859375
ENSG00000050628,9510,0.393690851735016
ENSG00000050730,3749,0.357161909842625
ENSG00000050748,8955,0.471915131211614
ENSG00000051009,4726,0.447735928903936
ENSG00000051108,5062,0.424930857368629
ENSG00000051128,3422,0.592343658679135
ENSG00000051180,3084,0.493190661478599
ENSG00000051341,9185,0.377354382144801
ENSG00000051382,7841,0.453513582451218
ENSG00000051523,4161,0.629175678923336
ENSG00000051596,3449,0.426790374021456
ENSG00000051620,10352,0.47749227202473
ENSG00000051825,10304,0.464382763975155
ENSG00000052126,24580,0.391700569568755
ENSG00000052723,5894,0.378520529351883
ENSG00000052749,8529,0.502520811349513
ENSG00000052795,10981,0.421090975321009
ENSG00000052802,2852,0.388499298737728
ENSG00000052841,11296,0.404479461756374
ENSG00000053108,6711,0.514826404410669
ENSG00000053254,11154,0.436883629191322
ENSG00000053371,1779,0.575604272062957
ENSG00000053372,2556,0.543427230046948
ENSG00000053501,2431,0.562731386260798
ENSG00000053524,20884,0.4302336717104
ENSG00000053770,13019,0.353406559643598
ENSG00000053900,7444,0.367544331004836
ENSG00000053918,4420,0.619230769230769
ENSG00000054116,3527,0.54635667706266
ENSG00000054118,4720,0.47521186440678
ENSG00000054148,1612,0.649503722084367
ENSG00000054219,8805,0.415559341283362
ENSG00000054267,11073,0.407838887383726
ENSG00000054277,3724,0.369226638023631
ENSG00000054282,5321,0.417778613042661
ENSG00000054392,6645,0.448156508653123
ENSG00000054523,18915,0.446629659000793
ENSG00000054598,3983,0.56264122520713
ENSG00000054611,5315,0.576105362182502
ENSG00000054654,32359,0.431162891313081
ENSG00000054793,8073,0.498575498575499
ENSG00000054965,7887,0.425129960694814
ENSG00000054967,6187,0.609180539841603
ENSG00000054983,6736,0.428147268408551
ENSG00000055044,3274,0.391569945021381
ENSG00000055070,4742,0.543019822859553
ENSG00000055118,7207,0.598307201332038
ENSG00000055130,4152,0.472784200385356
ENSG00000055147,6523,0.370994940978078
ENSG00000055163,10564,0.512211283604695
ENSG00000055208,6109,0.435750532001964
ENSG00000055211,2250,0.413777777777778
ENSG00000055332,11036,0.432674882203697
ENSG00000055483,9269,0.501456467795879
ENSG00000055609,53322,0.419132815723341
ENSG00000055732,6624,0.441123188405797
ENSG00000055917,6969,0.440809298321136
ENSG00000055950,3578,0.586640581330352
ENSG00000055955,4659,0.563640266151535
ENSG00000055957,4541,0.560889671878441
ENSG00000056050,1422,0.445850914205345
ENSG00000056097,6771,0.423128046078866
ENSG00000056277,4638,0.425398878827081
ENSG00000056558,4476,0.540214477211796
ENSG00000056586,11563,0.425927527458272
ENSG00000056736,3044,0.467805519053877
ENSG00000056972,12634,0.458841222099098
ENSG00000057019,11280,0.374911347517731
ENSG00000057252,7005,0.398715203426124
ENSG00000057294,10267,0.418622771987922
ENSG00000057468,3270,0.370336391437309
ENSG00000057608,3918,0.460183767228178
ENSG00000057657,6750,0.453185185185185
